referrer,views_total,views_unique
Google,308,111
fluxcd.io,98,34
github.com,52,25
Bing,34,11
statics.teams.cdn.office.net,13,4
DuckDuckGo,7,5
chatgpt.com,5,2
search.brave.com,4,3
ya.ru,4,2
karpenter.sh,4,1
