referrer,views_total,views_unique
github.com,503,117
Google,414,153
fluxcd.io,86,46
mail.google.com,48,2
thenewstack.io,29,24
DuckDuckGo,23,5
bitbucket.corp.appdynamics.com,14,1
rajputvaibhav.medium.com,9,9
workspace.evermos.com,8,1
codefresh.io,5,5
