time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-30 00:00:00+00:00,5480,67,157,42
2023-07-31 00:00:00+00:00,5791,117,663,102
2023-08-01 00:00:00+00:00,5624,123,1050,129
2023-08-02 00:00:00+00:00,4540,122,1523,139
2023-08-03 00:00:00+00:00,4404,127,1258,136
2023-08-04 00:00:00+00:00,4663,129,739,99
2023-08-05 00:00:00+00:00,4332,75,115,35
2023-08-06 00:00:00+00:00,4283,77,127,26
2023-08-07 00:00:00+00:00,4516,122,783,117
2023-08-08 00:00:00+00:00,4702,179,998,92
2023-08-09 00:00:00+00:00,5140,227,815,102
2023-08-10 00:00:00+00:00,4819,218,938,113
2023-08-11 00:00:00+00:00,4521,156,399,75
2023-08-12 00:00:00+00:00,4130,127,157,46
