url_path,views_total,views_unique
/weaveworks/weave-gitops,980,526
/weaveworks/weave-gitops/tree/main/charts/gitops-server,289,64
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,216,41
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,183,76
/weaveworks/weave-gitops/issues,107,59
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,98,36
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,93,36
/weaveworks/weave-gitops/releases,63,47
/weaveworks/weave-gitops/blob/main/charts/gitops-server/Chart.yaml,61,21
/weaveworks/weave-gitops/tree/main,49,33
