url_path,views_total,views_unique
/weaveworks/weave-gitops,405,237
/weaveworks/weave-gitops/releases,56,32
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,44,40
/weaveworks/weave-gitops/tree/main/charts/gitops-server,41,24
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,38,19
/weaveworks/weave-gitops/issues,27,14
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,22,21
/weaveworks/weave-gitops/pulls,21,9
/weaveworks/weave-gitops/blob/main/charts/gitops-server/Chart.yaml,19,9
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,17,14
