url_path,views_total,views_unique
/weaveworks/weave-gitops,710,448
/weaveworks/weave-gitops/tree/main/charts/gitops-server,221,48
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,163,68
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,130,32
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,93,38
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,81,34
/weaveworks/weave-gitops/tree/main/charts/gitops-server/templates,72,18
/weaveworks/weave-gitops/issues,65,39
/weaveworks/weave-gitops/tree/main,49,26
/weaveworks/weave-gitops/blob/main/doc/img/04-yaml.png,46,19
