referrer,views_total,views_unique
github.com,618,58
Google,85,39
app.zenhub.com,66,9
fluxcd.io,37,18
infoworld.com,21,15
weave.works,8,5
itworld.co.kr,5,5
Bing,3,2
us06st1.zoom.us,2,1
DuckDuckGo,1,1
