referrer,views_total,views_unique
Google,897,213
github.com,334,98
statics.teams.cdn.office.net,131,18
fluxcd.io,102,48
thenewstack.io,23,19
weave.works,20,2
linkedin.com,17,12
codefresh.io,16,9
DuckDuckGo,15,7
nvd.nist.gov,14,7
