time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-27 00:00:00+00:00,196,45,187,50
2022-12-28 00:00:00+00:00,183,48,231,47
2022-12-29 00:00:00+00:00,195,49,225,66
2022-12-30 00:00:00+00:00,207,49,148,35
2022-12-31 00:00:00+00:00,171,46,38,14
2023-01-01 00:00:00+00:00,173,44,23,13
2023-01-02 00:00:00+00:00,352,115,237,54
2023-01-03 00:00:00+00:00,491,127,547,83
2023-01-04 00:00:00+00:00,670,127,1015,90
2023-01-05 00:00:00+00:00,553,117,550,69
2023-01-06 00:00:00+00:00,436,116,515,68
2023-01-07 00:00:00+00:00,343,99,118,37
2023-01-08 00:00:00+00:00,290,94,88,26
2023-01-09 00:00:00+00:00,557,109,599,103
