url_path,views_total,views_unique
/weaveworks/weave-gitops,753,496
/weaveworks/weave-gitops/tree/main/charts/gitops-server,108,48
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,97,43
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,84,72
/weaveworks/weave-gitops/issues,71,33
/weaveworks/weave-gitops/releases,51,38
/weaveworks/weave-gitops/pulls,48,23
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,44,40
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,41,37
/weaveworks/weave-gitops/tree/main/charts/gitops-server/templates,33,15
