url_path,views_total,views_unique
/weaveworks/weave-gitops,1260,728
/weaveworks/weave-gitops/tree/main/charts/gitops-server,379,73
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,307,135
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,180,52
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,153,63
/weaveworks/weave-gitops/issues,148,93
/weaveworks/weave-gitops/blob/main/doc/img/03-graph.png,128,51
/weaveworks/weave-gitops/tree/main/charts/gitops-server/templates,127,18
/weaveworks/weave-gitops/blob/main/doc/img/04-yaml.png,99,39
/weaveworks/weave-gitops/blob/main/doc/img/06-runtime.png,83,35
