url_path,views_total,views_unique
/weaveworks/weave-gitops,1379,683
/weaveworks/weave-gitops/tree/main/charts/gitops-server,262,102
/weaveworks/weave-gitops/pulls,241,28
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,192,84
/weaveworks/weave-gitops/issues,187,49
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,157,95
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,129,104
/weaveworks/weave-gitops/releases,113,63
/weaveworks/weave-gitops/tree/main/charts/gitops-server/templates,87,40
/weaveworks/weave-gitops/search,87,25
