url_path,views_total,views_unique
/weaveworks/weave-gitops,1380,639
/weaveworks/weave-gitops/tree/main/charts/gitops-server,370,107
/weaveworks/weave-gitops/blob/main/charts/gitops-server/values.yaml,215,77
/weaveworks/weave-gitops/issues,191,60
/weaveworks/weave-gitops/pulls,185,28
/weaveworks/weave-gitops/search,150,22
/weaveworks/weave-gitops/tree/main/charts/gitops-server/templates,145,48
/weaveworks/weave-gitops/blob/main/doc/img/02-workload-detail.png,134,95
/weaveworks/weave-gitops/releases,111,58
/weaveworks/weave-gitops/blob/main/doc/img/01-workloads.png,78,69
